Channel,Num Spikes,Spike Freq (Hz),Mean Amp (µV),Median Amp (µV),CV of ISI,Num Bursts,Avg Spikes/Burst,% Spikes in Bursts,Degree Centrality,Betweenness Centrality,Clustering Coeff,Eigenvector Centrality,Community ID,z_score,P_coeff,Node Role
Ch 25,505,0.4208333194255829,1.0266337394714355,2.9200000762939453,0.9737190008163452,0,,0.0,1.9827586206896552,0.0,0.28166826880341406,0.12040964031160005,3,0.2719106575779368,0.7374893079542371,Connector
Ch 35,517,0.4308333396911621,1.179864525794983,4.329999923706055,1.0907673835754395,0,,0.0,1.9655172413793103,0.00030248033877797946,0.2776780025199949,0.12443716796611987,3,-0.31360485067548455,0.7435986054775656,Connector
Ch 45,497,0.414166659116745,1.1647887229919434,3.6700000762939453,1.1166119575500488,1,3.0,0.6036217303822937,2.0,0.0006049606775559589,0.2831630720607338,0.1292540775326393,2,1.0649622109667298,0.7498725041735415,Connector
Ch 55,668,0.5566666722297668,-0.04997006803750992,-0.125,1.0591695308685303,1,3.0,0.4491017964071856,1.9655172413793103,0.008166969147005446,0.31448295143127825,0.15199988698963596,0,0.8938872055839713,0.7375289693971236,Connector
Ch 65,463,0.3858333230018616,0.7646004557609558,3.3299999237060547,1.0630310773849487,0,,0.0,2.0,0.0,0.28381936434075333,0.12503527345676382,1,-0.6369218327508317,0.7429161897176955,Connector
Ch 75,486,0.4050000011920929,1.555576205253601,4.039999961853027,1.0782616138458252,0,,0.0,1.9482758620689655,0.0,0.28258692798512625,0.12033150543513589,3,0.41321153961801743,0.7405734978843711,Connector
Ch 85,462,0.38499999046325684,1.4729653596878052,3.7100000381469727,1.2746573686599731,2,3.0,1.2987012987012987,1.9655172413793103,0.0,0.28844765686504015,0.12529963740506356,3,-0.7821750182501024,0.7447031560880869,Connector
Ch 16,490,0.40833333134651184,0.7494285106658936,2.4200000762939453,1.0878376960754395,0,,0.0,1.9827586206896552,0.0,0.2689591878425856,0.11715755736421213,1,0.4644263783083872,0.7487290742528362,Connector
Ch 26,485,0.40416666865348816,1.3816907405853271,3.75,0.9882891774177551,2,3.0,1.2371134020618557,2.0,0.0,0.28459726514025313,0.12942154343687115,3,0.5161467918664339,0.7418694038734317,Connector
Ch 36,487,0.40583333373069763,1.1891580820083618,3.4200000762939453,1.0581836700439453,1,3.0,0.6160164271047228,1.9482758620689655,0.0,0.2706130989018772,0.11671482842712277,1,0.28246747885699963,0.7471024091191835,Connector
Ch 46,468,0.38999998569488525,1.3785898685455322,3.4549999237060547,1.0283458232879639,2,3.0,1.282051282051282,1.9655172413793103,0.0,0.283923350685403,0.13162002309543763,2,0.4316800771053081,0.7437968308010611,Connector
Ch 56,632,0.5266666412353516,-0.9247626662254333,-0.8299999833106995,1.0290536880493164,0,,0.0,1.9827586206896552,0.012099213551119179,0.29992408795664455,0.13964326484430722,0,1.4106775431520189,0.7269929339531047,Connector
Ch 66,683,0.5691666603088379,0.07802341878414154,0.25,0.9978659152984619,2,3.0,0.8784773060029283,1.9827586206896552,0.026315789473684213,0.29942991753728027,0.13512366470368037,0,0.5877234996909176,0.7425490603146785,Connector
